With corrected xpath, these are the 83 pages impacted:
                                     name                                      |  authors   |                  legacy                  |                               page                               
 Organizing to Govern                                                           | {cnxamgov} | https://legacy-qa.cnx.org/content/m59052 | https://qa.cnx.org/contents/33651201-eefb-4b44-83d7-692c92be5d85
 The Public Presidency                                                          | {cnxamgov} | https://legacy-qa.cnx.org/content/m59053 | https://qa.cnx.org/contents/27b0fa06-f702-47f9-bc56-776ff4cd74ec
 Civil Rights for Indigenous Groups: Native Americans, Alaskans, and Hawaiians  | {cnxamgov} | https://legacy-qa.cnx.org/content/m58985 | https://qa.cnx.org/contents/bf879400-500f-4feb-8744-452675525e2c
 Divided Government and Partisan Polarization                                   | {cnxamgov} | https://legacy-qa.cnx.org/content/m59014 | https://qa.cnx.org/contents/b622df1d-07e9-4a16-ba51-97993fa74899
 Congressional Elections                                                        | {cnxamgov} | https://legacy-qa.cnx.org/content/m59029 | https://qa.cnx.org/contents/555946f7-b655-4976-b2a7-4c0e6c246330
 The Fight for Women’s Rights                                                   | {cnxamgov} | https://legacy-qa.cnx.org/content/m58984 | https://qa.cnx.org/contents/f321ca0c-3392-45e1-a76d-092cd31fb2a5
 The Shape of Modern Political Parties                                          | {cnxamgov} | https://legacy-qa.cnx.org/content/m59013 | https://qa.cnx.org/contents/9c71f4d0-d6df-481b-9996-ce751ca49f96
 Collective Action and Interest Group Formation                                 | {cnxamgov} | https://legacy-qa.cnx.org/content/m59019 | https://qa.cnx.org/contents/f71475e4-c8d2-4a4e-8fca-cf854bb8f31b
 Equal Protection for Other Groups                                              | {cnxamgov} | https://legacy-qa.cnx.org/content/m62048 | https://qa.cnx.org/contents/e9332f2b-7721-463a-9b96-e67c74fc1f5b
 The Design and Evolution of the Presidency                                     | {cnxamgov} | https://legacy-qa.cnx.org/content/m59050 | https://qa.cnx.org/contents/5abe0bea-2667-4c18-bcda-634d14955c44
 Introduction                                                                   | {cnxamgov} | https://legacy-qa.cnx.org/content/m59081 | https://qa.cnx.org/contents/2622cf6c-5acf-4b0b-a3f1-9ac89f2ec025
 Intergovernmental Relationships                                                | {cnxamgov} | https://legacy-qa.cnx.org/content/m58969 | https://qa.cnx.org/contents/6681afcf-ddc2-4de4-a4d3-7ee7f94d44ae
 The Federal Court System                                                       | {cnxamgov} | https://legacy-qa.cnx.org/content/m59062 | https://qa.cnx.org/contents/e99782f8-f975-41a3-a08c-84c907aad93d
 What Are Parties and How Did They Form?                                        | {cnxamgov} | https://legacy-qa.cnx.org/content/m59016 | https://qa.cnx.org/contents/9824235e-9e98-4cf1-af98-f569754dc520
 The Two-Party System                                                           | {cnxamgov} | https://legacy-qa.cnx.org/content/m59010 | https://qa.cnx.org/contents/a5c1983c-ba62-47b1-877f-a24d8201d5a8
 Presidential Governance: Power as Persuasion                                   | {cnxamgov} | https://legacy-qa.cnx.org/content/m59058 | https://qa.cnx.org/contents/955cba00-3d51-4fbc-a7b0-0ea8c7b851f9
 Guardians of the Constitution and Individual Rights                            | {cnxamgov} | https://legacy-qa.cnx.org/content/m59060 | https://qa.cnx.org/contents/0c441e8b-99de-4706-915c-615af32b2aa0
 Introduction                                                                   | {cnxamgov} | https://legacy-qa.cnx.org/content/m59017 | https://qa.cnx.org/contents/023c8dc9-73ff-415e-a425-740122f650e4
 Governors and State Legislatures                                               | {cnxamgov} | https://legacy-qa.cnx.org/content/m59072 | https://qa.cnx.org/contents/1d159c7f-e08c-417d-80aa-8a157a957c76
 Introduction                                                                   | {cnxamgov} | https://legacy-qa.cnx.org/content/m58997 | https://qa.cnx.org/contents/9a5cabad-893a-48f7-bce0-339ea4a6e9c0
 Competitive Federalism Today                                                   | {cnxamgov} | https://legacy-qa.cnx.org/content/m58970 | https://qa.cnx.org/contents/76697fff-e01d-4f3e-97c5-eba408cd8009
 County and City Government                                                     | {cnxamgov} | https://legacy-qa.cnx.org/content/m59075 | https://qa.cnx.org/contents/851a64e1-b529-4707-951f-b033813b146c
 Budgeting and Tax Policy                                                       | {cnxamgov} | https://legacy-qa.cnx.org/content/m59086 | https://qa.cnx.org/contents/10c74228-8722-4825-a50f-a9d35b4489d5
 State Power and Delegation                                                     | {cnxamgov} | https://legacy-qa.cnx.org/content/m59070 | https://qa.cnx.org/contents/2b8d9fc0-b165-44b0-88de-ad0327cf4c00
 Toward a Merit-Based Civil Service                                             | {cnxamgov} | https://legacy-qa.cnx.org/content/m59078 | https://qa.cnx.org/contents/39c1b936-f0dd-4341-a1cb-6c9449f2715f
 Interpreting the Bill of Rights                                                | {cnxamgov} | https://legacy-qa.cnx.org/content/m58980 | https://qa.cnx.org/contents/fdf44e79-776e-477e-963c-a6c0a98c434a
 Foreign Policy Instruments                                                     | {cnxamgov} | https://legacy-qa.cnx.org/content/m59089 | https://qa.cnx.org/contents/76c60115-aa26-4596-b673-a6e12a16c613
 State Political Culture                                                        | {cnxamgov} | https://legacy-qa.cnx.org/content/m59071 | https://qa.cnx.org/contents/d76b7e9e-cf6a-498f-b9e2-32a57b967577
 What Is Public Policy?                                                         | {cnxamgov} | https://legacy-qa.cnx.org/content/m59082 | https://qa.cnx.org/contents/ebd1ac6d-f33e-487e-8906-8d9ad88b9ff1
 Who Governs? Elitism, Pluralism, and Tradeoffs                                 | {cnxamgov} | https://legacy-qa.cnx.org/content/m58957 | https://qa.cnx.org/contents/a8ae7f1c-0874-499c-b92c-a3690dc92d1c
 Regulating the Media                                                           | {cnxamgov} | https://legacy-qa.cnx.org/content/m59000 | https://qa.cnx.org/contents/e8568b4f-0c23-44d8-8c56-e0672bc31c8a
 The Ratification of the Constitution                                           | {cnxamgov} | https://legacy-qa.cnx.org/content/m58964 | https://qa.cnx.org/contents/3416922d-f5b2-431d-8793-89ed4b191fbb
 Free Speech and the Regulation of Interest Groups                              | {cnxamgov} | https://legacy-qa.cnx.org/content/m59025 | https://qa.cnx.org/contents/fa69014a-50c5-4c8d-9b72-d87ee964e83f
 Controlling the Bureaucracy                                                    | {cnxamgov} | https://legacy-qa.cnx.org/content/m59080 | https://qa.cnx.org/contents/08ada2c8-89d9-4641-b993-bed8515ea23e
 What Are Civil Liberties?                                                      | {cnxamgov} | https://legacy-qa.cnx.org/content/m58977 | https://qa.cnx.org/contents/2aafcd29-e648-4b86-b8b7-84d0ce46f906
 Elections                                                                      | {cnxamgov} | https://legacy-qa.cnx.org/content/m58994 | https://qa.cnx.org/contents/4673fb51-9c11-4ffc-b282-a9aeab42d5a0
 The Effects of Public Opinion                                                  | {cnxamgov} | https://legacy-qa.cnx.org/content/m58990 | https://qa.cnx.org/contents/ed844365-afb4-47d1-9428-c4f473e7366e
 Engagement in a Democracy                                                      | {cnxamgov} | https://legacy-qa.cnx.org/content/m58958 | https://qa.cnx.org/contents/a7a5f339-252d-4b50-83ed-a2495bc02779
 Presidential Governance: Direct Presidential Action                            | {cnxamgov} | https://legacy-qa.cnx.org/content/m59055 | https://qa.cnx.org/contents/8469ef00-4d28-4cd8-99ab-f77b9bbc0acc
 Securing Basic Freedoms                                                        | {cnxamgov} | https://legacy-qa.cnx.org/content/m58978 | https://qa.cnx.org/contents/41270e16-46ff-4790-be8a-9c43bfc05254
 What Are Civil Rights and How Do We Identify Them?                             | {cnxamgov} | https://legacy-qa.cnx.org/content/m58982 | https://qa.cnx.org/contents/75bad956-ba62-4639-92cf-d25fc3bdd9f1
 Advantages and Disadvantages of Federalism                                     | {cnxamgov} | https://legacy-qa.cnx.org/content/m58971 | https://qa.cnx.org/contents/46814db9-5d28-4e66-a8a4-7c79c484fc45
 The Evolution of American Federalism                                           | {cnxamgov} | https://legacy-qa.cnx.org/content/m58968 | https://qa.cnx.org/contents/d124704d-7e8a-4c87-bcef-6ce608f3b435
 What Is the Media?                                                             | {cnxamgov} | https://legacy-qa.cnx.org/content/m58998 | https://qa.cnx.org/contents/cb580850-c3f8-4763-914a-442151866495
 The Presidential Election Process                                              | {cnxamgov} | https://legacy-qa.cnx.org/content/m59051 | https://qa.cnx.org/contents/a7afa056-d34b-4390-bf2e-4057701100ca
 Judicial Decision-Making and Implementation by the Supreme Court               | {cnxamgov} | https://legacy-qa.cnx.org/content/m59068 | https://qa.cnx.org/contents/f11ccf83-1b1e-4c33-9f37-4ad3e09509e1
 Policy Arenas                                                                  | {cnxamgov} | https://legacy-qa.cnx.org/content/m59084 | https://qa.cnx.org/contents/3b22b8ed-450a-4077-b25f-8ee425ad2439
 Policymakers                                                                   | {cnxamgov} | https://legacy-qa.cnx.org/content/m59085 | https://qa.cnx.org/contents/9f8d0c73-0533-4fe7-9aef-e978b61b27fc
